User_ID,Pickup_Location,rental_date,Duration,return_date,Car_Id
0,Visakhapatnam,2019-09-26,3,2019-09-29,9970
0,Shillong,2019-10-10,3,2019-10-13,6676
0,Ranchi,2019-11-14,6,2019-11-20,364
0,Raigarh,2019-12-12,3,2019-12-15,4349
0,Kolkata,2019-12-26,5,2019-12-31,6324
0,Amritsar,2020-01-09,2,2020-01-11,6938
0,Pune,2020-02-27,1,2020-02-28,1458
0,Mumbai,2020-04-16,5,2020-04-21,10784
0,Mumbai,2020-05-07,2,2020-05-09,10740
0,Raipur,2020-05-14,5,2020-05-19,2790
0,Raigarh,2020-05-21,3,2020-05-24,4303
0,Srinagar,2020-06-18,5,2020-06-23,5252
0,Delhi NCR,2020-06-25,6,2020-07-01,5433
0,Raipur,2020-07-16,1,2020-07-17,2736
0,Ludhiana,2020-07-24,4,2020-07-28,4093
0,Raigarh,2020-08-06,2,2020-08-08,4316
0,Raipur,2020-09-17,1,2020-09-18,2640
0,Indore,2020-10-01,1,2020-10-02,10115
0,Shillong,2020-10-08,4,2020-10-12,6704
0,Khowai,2020-10-15,7,2020-10-22,1051
0,Visakhapatnam,2020-10-29,5,2020-11-03,9908
0,Indore,2020-11-19,3,2020-11-22,10019
0,Gwalior,2020-12-24,5,2020-12-29,1892
0,Ahmedabad,2021-02-18,6,2021-02-24,680
0,Prayagraj,2021-04-15,4,2021-04-19,3790
0,Dhubri,2021-05-21,1,2021-05-22,6180
0,Ahmedabad,2021-05-27,5,2021-06-01,686
1,Chandigarh,2019-10-03,5,2019-10-08,9034
1,Puri,2019-10-17,4,2019-10-21,4748
2,Kullu-Manali,2019-10-31,2,2019-11-02,7568
2,Amritsar,2019-11-07,7,2019-11-14,6879
2,Mysuru,2019-12-05,7,2019-12-12,10209
2,Visakhapatnam,2019-12-26,1,2019-12-27,9922
2,Khowai,2020-01-02,4,2020-01-06,1159
2,Surat,2020-01-09,7,2020-01-16,8443
2,Srinagar,2020-01-23,1,2020-01-24,5342
2,Shimla,2020-02-20,3,2020-02-23,9251
2,Amritsar,2020-02-27,6,2020-03-04,6904
2,Guwahati,2020-03-12,5,2020-03-17,2220
2,Mumbai,2020-04-02,2,2020-04-04,10716
2,Puducherry,2020-04-16,4,2020-04-20,2968
2,Varanasi,2020-04-23,2,2020-04-25,5809
2,Kullu-Manali,2020-07-02,2,2020-07-04,7444
2,Mysuru,2020-07-16,1,2020-07-17,10275
2,Hyderabad,2020-10-15,5,2020-10-20,812
2,Khowai,2020-11-05,2,2020-11-07,1125
2,Mopa,2020-11-27,1,2020-11-28,3467
2,Srinagar,2020-12-24,2,2020-12-26,5383
2,Diu,2021-01-28,3,2021-01-31,8940
2,Bengaluru,2021-04-22,6,2021-04-28,2155
