user_id,account_age,rental_duration,total_amount,failed_payment_attempts,vpn_detected,multiple_accounts,fraud_label
1318562b-3b40-47b8-93a1-ee9cb9ad8afd,682,25,85,0,0,0,0
3b2a0588-c3ce-42a0-a4e9-27ceb86f6ddc,974,9,489,0,0,0,0
b85024cb-b8d9-48af-9170-9be06e074d5f,835,2,97,0,0,0,0
0898317f-c404-47e5-bd6b-2b852aca17ed,114,29,909,0,0,0,0
11ec3689-1925-4dc7-ab31-ae94bbaeab96,603,7,410,0,0,0,0
0c914461-61cc-4a7b-9ebc-2b6a55ea1586,0,20,107,0,0,0,0
81cf4094-eccc-4046-a7f3-35e67484a08b,471,16,29,0,0,0,0
412de1e1-2e5a-409d-a59c-dd35d7bf263b,804,10,722,0,0,0,0
978af884-929e-4ede-99ce-bdc46538c8a9,695,4,695,0,0,0,0
ef9509a5-7893-47fd-b0be-367839f8a0b4,894,21,897,0,0,0,0
23fffbf9-67ee-41a4-a5ff-351837bfff80,807,15,992,0,0,0,0
3a4f94ea-c2c3-4140-95e5-b0086363961a,629,14,245,0,0,0,0
f1956be6-880a-4d1d-9ace-410d2dbb9187,399,5,946,0,0,0,0
cc82b6e4-b26c-44d5-9b81-1893d4f38866,429,15,227,0,0,0,0
efb75e66-245e-496d-af9c-305f8512e68f,592,15,521,0,0,0,0
0c7161e6-c6d4-445c-bf77-babe3ded4187,77,1,931,5,0,1,1
5e44579d-47c8-4ccd-b12e-60659facd64a,683,1,58,0,0,0,0
ff4c568b-dc9d-43c7-a4a8-cc9c42fc03c1,794,30,813,0,0,0,0
55fb0df7-5fea-4838-8423-e3543d77de28,937,10,777,0,0,0,0
24c6bd9f-99a9-497b-92f7-e8b675902cbd,226,29,162,0,0,0,0
55602e18-f91e-4cac-9d01-7f377f159d04,407,21,531,0,0,0,0
06771e7b-d7d4-4eea-98ac-1709c3eeaffa,265,16,1000,0,0,0,0
4acf96fd-308e-4a44-add1-8f21f44b4868,93,13,486,0,0,0,0
517e4df8-c27a-4daa-9773-65d014858105,825,14,829,0,0,0,0
54165eec-608d-4f93-bae8-73c12c8685a1,471,12,617,0,0,0,0
932ab0e2-b816-4a22-807b-0e864a8a9f6a,1,27,521,0,0,0,0
a20ed492-fd9c-4445-b969-afe65ee7daed,424,8,681,0,0,0,0
22420ec4-6d92-4626-88f8-ba680dce765d,571,14,939,0,0,0,0
5f8c0822-cd17-4eb6-bcd6-3cda08ff091a,781,3,880,3,0,1,1
9cfa47cc-cef7-4b2a-a20b-f59ccf87e593,292,10,472,0,0,0,0
894d2de7-d5d3-4b13-9870-47c7088be84b,535,11,599,0,0,0,0
35befda5-cd90-471e-8104-85032abafcc8,564,18,622,0,0,0,0
e221ca79-e13a-435c-928b-a8d837fc1528,508,2,300,0,0,0,0
1e66978e-6ffa-44ef-8c73-0e0a2c51f951,6,2,488,0,0,0,0
09460e4c-bd3c-435b-8b4d-2a42ff1c7940,6,19,49,0,0,0,0
52fabf02-383f-4285-8024-3250c3930689,386,23,958,0,0,0,0
ac3fb841-f48e-45b9-866e-325ccc0f391f,102,18,718,0,0,0,0
e86782b3-8de9-4d92-bbda-30419b1cc4de,254,5,400,0,0,0,0
1c78d1dd-7411-4b1d-aaed-cc28714b0300,398,2,46,0,0,0,0
317f7902-7e88-46d7-bebf-72ffc0937363,978,16,683,0,0,0,0
9a6f458a-7fe5-4380-9ce3-6e1a8508722f,298,4,899,0,0,0,0
c6a574fb-8294-451c-848b-616e44d13ace,299,30,189,0,0,0,0
e732bf1f-6990-4fa5-a019-912aaa896ef1,17,26,792,0,0,0,0
01b8708a-3b4e-4ab7-8b0c-8cb28421c598,291,13,258,0,0,0,0
3019aa49-78d0-456d-9384-95b5b05edd38,400,24,150,0,0,0,0
9c743d70-09da-4187-8983-6caa39db7323,775,8,71,0,0,0,0
1484b3fb-32c0-4c7c-a105-daa869258c57,853,20,174,0,0,0,0
c2f04784-164e-4de2-b40c-810b3b87564d,637,1,333,0,0,0,0
6e7804d4-782e-48c2-82eb-efa8cb1cfe7b,439,22,467,0,0,0,0
4276d416-c190-4bfe-8c44-a6ac563fb855,485,7,510,0,0,0,0
ace0ce19-de9e-41c4-a3a5-cce1900fd2b5,513,26,187,0,0,0,0
65c63058-5439-45e3-b3b7-8ee1ce2c6cdd,10,25,124,0,0,0,0
eeed63c0-18b9-4102-a250-384b071aefaa,412,26,626,0,0,0,0
388405ce-e272-45f9-9573-2ba7490c60a3,624,2,666,0,0,0,0
ef7c8653-112f-4fcc-acc7-ee3c8ec5a3a6,870,5,613,0,0,0,0
6e394489-3642-4586-b8d8-0314b54621d5,576,20,846,0,0,0,0
9f2246c8-fcd2-4521-99ac-a7da824bdc2a,935,18,688,0,0,0,0
9d104688-ef1b-49de-90ef-702676d833d2,606,23,969,0,0,0,0
614f14cb-fa17-421f-a42c-9c45dfe11254,17,15,128,0,0,0,0
82596643-3a6d-45b8-b2a4-ebd3dac45d35,408,28,814,0,0,0,0
b330f7a9-00c5-41d4-84e4-aac2fb462e59,508,16,408,3,0,0,1
92a4750b-9adc-4b60-b8af-caffdd001e2c,23,30,274,0,0,0,0
7481f990-1172-4cde-92cb-fe99eadd736f,476,20,670,0,0,0,0
3b52657f-a93d-4555-a90d-3c25947a7841,191,27,934,0,0,0,0
093eacb5-e430-49e4-8ca4-239fec49311d,531,23,68,0,0,0,0
cd27efe3-c471-47b8-b07a-3bafde4527e2,937,13,538,0,0,0,0
28be967b-7bde-4fdd-a075-e355c385cf94,594,14,870,0,0,0,0
e51d5c5e-078d-4fc2-bb5b-cb8f4ea95c4e,583,25,194,0,0,0,0
69383817-b317-4f41-a3f6-c58e55704300,9,20,477,0,0,0,0
35c01f85-0e15-45d7-b64a-6d47b8a3de2a,551,21,965,0,0,0,0
fc5eeeda-3666-4bf7-9204-ce42fd00187a,762,16,485,0,0,0,0
cb2a4972-24e1-48f9-8ce7-997395c3efd5,291,8,940,0,0,0,0
ef0e3a2a-11ca-46a9-a5a0-e8d0f1c55727,224,13,898,0,0,0,0
c5b5b16b-b4b9-479c-aea5-051524c204eb,563,10,900,0,0,0,0
cc8c1eab-52fc-41e1-a3d3-fb934dd9ef8b,401,29,913,0,0,0,0
48bdafaa-2304-4abd-8e5c-2ef1799cd5ac,635,2,775,0,0,0,0
9c054215-5c52-4425-b857-f57a34be0dd4,56,23,256,0,0,0,0
819db6f3-201b-480e-a2e4-ae1db0fe5bb1,303,15,513,0,0,0,0
0c330b76-afc3-4711-a30b-6932f8ae8f11,238,19,877,0,0,0,0
2ce10340-1336-4bac-a2bc-4e5c0dcf5a88,295,12,454,0,0,0,0
d44d4a5c-ef26-434d-a48e-dfcc796665e6,360,11,431,0,0,0,0
53cace8d-1d5d-4985-ace3-cfeeae6bee02,613,10,334,0,0,0,0
02319980-e5b6-4d93-96e4-92b49747618b,104,12,627,0,0,0,0
c3cae512-bd15-4b74-8bc6-fb6514c53ac4,971,6,442,0,0,0,0
29b9990b-4e3b-4de5-97c0-3ddec164d56d,60,5,227,0,0,0,0
a7a73268-94db-4791-8d63-045370173fb4,870,24,791,0,0,0,0
e98fdbc8-7c08-4d02-820e-0754dc41ce16,424,28,676,0,0,0,0
7a372d5c-c08b-400e-b33a-09ddf5f3267b,533,17,389,0,0,0,0
b2f57b9f-6ced-444a-afd4-bcc5fb6b7a4c,728,21,956,0,0,0,0
ff881175-cf40-4cb0-b610-5767fc4eacdc,16,11,632,0,0,0,0
fad9b19e-3cb0-4e82-9f74-69d6be33f047,599,20,741,0,0,0,0
97c0de2a-5637-48cc-a5a3-8dcd9005b07d,280,15,634,0,0,0,0
fbcc0309-b187-47de-80bc-31fdefd7a2b7,11,8,670,0,0,0,0
7df4a64b-7964-45aa-beaa-af2c5a50366c,198,26,924,0,0,0,0
2f7e5445-06f9-4367-98e7-037f62d223d1,715,27,774,0,0,0,0
76cef26d-f5d2-4399-ba1f-8f335c74233d,6,9,752,3,0,1,1
277851d8-f6ea-4e2f-9ed3-6db840ab8dcc,630,27,817,0,0,0,0
9c610038-9bbb-491c-84f3-daae727f7412,608,7,617,0,0,0,0
9fc77693-680b-44bc-af1d-83d065e96f7e,805,18,157,0,0,0,0
42f84700-04c5-4880-b9ed-acb89c5d5fb9,152,19,728,0,0,0,0
6a1bfe3e-3292-448a-9eb8-ff283ff006e4,89,4,847,0,0,0,0
2caaafb0-acae-4756-b9ba-f9acba3b18c1,293,22,25,0,0,0,0
24b7f84d-04cd-4249-9a11-557961a4ae17,473,10,682,0,0,0,0
c71080ad-e828-46f8-8e10-98604dba7980,385,11,363,0,0,0,0
d6ce89e1-585b-44b2-a113-9e6f26096fe8,465,11,670,0,0,0,0
9ca624e9-8f23-49e1-9427-1c15784dbe30,931,21,852,0,0,0,0
9d960b06-9d8f-4f03-bfbe-b928743b8eca,581,9,450,0,0,0,0
34c400c2-6f32-4564-86de-d4e85f2add1c,948,2,836,0,0,0,0
e57f48a2-330d-4283-ae0d-0b83326c8def,420,6,294,0,0,0,0
ab71ad2d-dff2-41f5-93b7-25b8d1bbb305,274,13,801,0,0,0,0
e93efac0-cd8c-4b1d-a533-b20c27a60456,41,9,392,0,0,0,0
904946c6-6bb9-4847-ad69-55d82b17bb58,137,24,328,0,0,0,0
dda5b7ae-9751-4a4d-910c-db546336425a,752,2,544,0,0,0,0
ad266784-7ce4-478a-b2f0-67e2c9a1f2e5,402,5,171,0,0,0,0
9bd80c28-949b-4d17-9064-3f5461b69648,103,15,339,0,0,0,0
3a5e9a32-4f06-4104-a24b-2d384d965e85,368,25,955,0,0,0,0
669f2b0b-869b-484a-9301-8427cd46985a,203,28,564,0,0,0,0
634d5fee-2df7-4eb2-be64-cf4a5b63b2d7,71,11,196,0,0,0,0
